APR,AUG,Total,DEC,FEB,JAN,JUL,JUN,MAR,MAY,NOV,OCT,Parameter,SEP,Year
2.3,481.1,3373.2,33.6,87.1,49.2,365.1,517.5,29.2,528.8,558.2,388.5,Actual,332.6,1901
0,753.7,3520.7,160.5,159.8,0,228.9,537.1,12.2,446.1,359,197.2,Actual,666.2,1902
1,326.7,2957.4,225,144,12.7,728.4,479.9,0,235.1,284.4,181.2,Actual,339,1903
202.4,160.1,3079.6,40.1,14.7,9.4,502,495.1,0,304.5,308.7,222.2,Actual,820.4,1904
26.9,330.5,2566.7,344.7,0,1.3,368.7,628.7,3.3,279.5,25.4,260.7,Actual,297,1905
0,320.5,2534.4,79.2,0,36.6,247.7,733.3,0,556.1,128.9,267.8,Actual,164.3,1906
21.6,377.6,3347.9,245.6,0,110.7,443.9,305.2,113.3,616.3,648.9,264.4,Actual,200.4,1907
29,699.9,3576.4,196.9,85.1,20.9,481.4,693.6,0,562,208.1,170.7,Actual,428.8,1908
89.3,337.4,2899.4,153.5,22.7,26.6,264.3,472.7,206.3,224.5,267.3,208.2,Actual,626.6,1910
122.5,187.1,2687.2,247.1,8.4,0,253,649,0,327.3,94.5,333.8,Actual,464.5,1911
21.9,370.3,2960.5,2.3,0.8,583.7,468.9,549.8,0,140.7,117.2,318.7,Actual,386.2,1912
2.5,205.8,2365.8,67.5,0.5,84.8,280.8,530,1.3,190.7,133,288.8,Actual,580.1,1913
37.7,520.5,2957.8,289.7,0,0,792.8,383.3,0,298.8,184.4,139.8,Actual,310.8,1914
40.9,317.2,2741.3,318,56.7,45,269,334.7,33.3,170.2,258.4,468.1,Actual,429.8,1915
0.5,425,2937.5,133.7,0,0,317.3,450.1,0,487.4,192.6,369.7,Actual,561.2,1916
4.5,437.4,2612.4,236.9,3.6,8,394.8,301.1,112,295.9,108.3,238.1,Actual,471.8,1917
10.7,455.4,3275,175,6.9,77.4,200.9,710.8,11.4,729.3,366.9,227,Actual,303.3,1918
35.5,259.8,2352.1,258.4,18,10.2,246.5,542.5,0,283.9,340.4,186.2,Actual,170.7,1919
13,467.4,2943.2,85.5,7.4,122.3,294.4,546.9,3.1,237.4,262.9,397.5,Actual,505.4,1920
37.5,330,2606.4,41.5,3.1,13.2,487.1,282.7,0,351.2,118.2,360.7,Actual,581.2,1921
323.1,307.4,3554.2,192.2,34.3,245.3,425.8,506.1,15.6,289.7,541,162,Actual,511.7,1922
91.3,182.2,,70.6,0,79.5,636.9,808.4,,293.5,197.4,131.9,Actual,560.5,1923
89.7,290.9,,,0,28.7,493.3,261.2,14.8,191.2,378.6,331.1,Actual,251.2,1924
50.4,278.2,2480.5,196,0,36.6,241.8,663.8,8.6,282.2,271.5,249.5,Actual,201.9,1925
0.5,523.7,3282.2,560.7,0,122.1,195.3,370,0,198.4,148.4,443.8,Actual,719.3,1926
108.6,370.1,2442.9,65.5,17.5,3,195.2,433.3,17.8,504.1,274.1,327.5,Actual,126.2,1927
129.3,391.5,2998.3,13.5,67.6,50.9,406.3,410.2,80.7,499.5,99.5,444.5,Actual,404.8,1928
69.8,644.7,2926.6,13.5,118.4,74.2,134,588.8,129.2,316.6,251.5,413,Actual,172.9,1929
10.9,446.7,3075.1,201.6,105.4,87.4,317.9,533.6,131.2,231.5,249.4,82.3,Actual,677.2,1930
2.5,571,2357.7,182.7,0,25.3,289.3,393.5,2.5,205.4,22.8,368.3,Actual,294.4,1931
58.2,,,,2.5,2.8,,,10.1,479.7,,,Actual,,1932
58.4,294.1,2987.5,56.9,11.7,4.5,376.6,544.2,8.1,365.4,268.8,239.8,Actual,759,1933
131.4,924.9,3722.8,46.1,172.9,7.3,323.5,708.4,6.9,62,240.2,338.1,Actual,761.1,1934
133.6,411.6,3154,95.4,0,6.6,368.7,374.1,0.5,726.8,275.4,182.4,Actual,578.9,1935
,562.9,,212.2,15.3,16.5,664.8,498.3,116.5,194.3,199.2,174.9,Actual,383.8,1936
112,332,3591.1,617.5,10.7,21.6,449.5,732.8,0,330.5,251.7,383.3,Actual,349.5,1937
101.6,397.1,3264.4,107.5,57.2,13.4,318.2,668.6,50.5,368.9,316.3,318.4,Actual,546.7,1938
77.3,202.8,2782.5,131.3,1.5,54.1,335.6,541,16.1,480.5,165.9,263.9,Actual,512.5,1939
0,889.2,3007.5,318.8,2.8,0.5,268.1,335.4,59.4,320.7,221,114.1,Actual,477.5,1940
77.8,311.9,2898.2,279.5,12.8,0,302.5,497,0,251.9,266,382.8,Actual,516,1941
,,,,7.4,39.2,,,,,,,Actual,,1942
135.2,367.4,2791.6,243.8,3.6,84.4,189,535.9,21.1,309.1,146.9,276.9,Actual,478.3,1946
127.7,293.7,,168.6,111.1,25.1,490,965.6,63.2,206.3,67.5,376,Actual,,1947
166.5,404,3489.6,7,56.4,0,743.3,658.4,0,405.8,81.1,339.6,Actual,627.5,1949
95.5,347.3,2422.2,169.4,0,0.8,366.7,369.9,0,264.2,89.3,224.6,Actual,494.5,1950
45.4,101.3,3275.1,434.8,7.2,82.7,665.3,619.9,0,259,209.6,489,Actual,360.9,1951
39.4,541.3,3079.9,89.2,0.8,0,385.5,657.7,69.7,452.9,287.5,315.6,Actual,240.3,1952
159.4,262.8,2722,63.3,65.3,56,444.4,549.9,20.1,241.1,246,243.6,Actual,370.1,1953
58,605.4,3449,124.7,2.1,83.8,510.8,539.4,34.3,394.7,84.8,247.2,Actual,763.8,1954
68.8,356.9,3349.6,44.2,28.2,57.3,298.4,651.1,9.9,663.6,362.9,466.5,Actual,341.8,1955
130.3,467.7,3079.9,70.5,77.2,49.2,468.4,343.1,33.8,491.8,164.1,458.7,Actual,325.1,1956
19,421.3,2507.2,71.9,19.3,28,316.2,741.9,4.6,142.4,88.6,299.7,Actual,354.3,1957
24.6,388.4,2807.4,70.7,14.3,22.9,440.7,530.7,30.4,355.1,313.8,265.2,Actual,350.6,1958
86.7,409.3,3343.4,128.5,1.8,10.1,817.1,455.7,31.3,238.1,242.5,332.7,Actual,589.6,1959
53.5,270.7,3025.1,92.8,72.4,104.2,308.4,541.5,12.1,535.4,191.7,400,Actual,442.4,1960
88.1,557.1,3938.2,144.5,99.4,82.1,304.9,383.3,33.2,973.1,280.6,379.9,Actual,612,1961
46.4,420.6,2959.7,384.9,14.9,152.4,409.1,367.7,17.3,310.4,101.7,259.8,Actual,474.5,1962
69.5,601.2,2981.7,179.9,26.8,79.9,303.3,434.7,7.4,259.9,109.3,295.5,Actual,614.3,1963
18.1,472.1,3054.8,101.6,21.9,65.5,287.3,465.3,3.1,530.6,349.2,218.9,Actual,521.2,1964
51,396.6,3163.9,500.4,30.4,11.8,392.1,408.8,25.3,292.3,187.9,290.5,Actual,576.8,1965
38.7,335.6,2701.2,311.9,4.2,79.8,433.5,148.8,12,376.9,333.8,171.9,Actual,454.1,1966
63.4,614.3,3216.6,97,21.6,164.6,537.8,340.8,30,516.4,99.7,427.5,Actual,303.5,1967
81.5,242,2762.8,119.2,1.3,22.1,519.3,545.2,4.2,297.6,152,281.6,Actual,496.8,1968
20.8,281.4,2619.2,65.8,64.7,106.3,345.2,422.8,14.6,317.3,343.7,146.8,Actual,489.8,1969
58.2,342.9,3370.9,232.7,34,72.2,564.6,407.3,7.8,422.7,418.4,386.6,Actual,423.5,1970
35.3,327.9,2998.7,155.9,32.8,41.5,421.1,394.6,37.7,398,178.4,505.3,Actual,470.2,1971
178.3,384.9,3323.1,180,1.7,13.7,544.6,470,7.5,420.2,413.9,263.8,Actual,444.5,1972
29.6,370.3,2991,289.1,20.3,18.1,371.4,488.6,30.5,418.6,349.8,247.2,Actual,357.5,1973
301.4,456.2,2962.1,74.8,43.9,22.2,257.1,343.8,17.2,353.3,372.2,398.4,Actual,321.6,1974
24.2,357.4,3085.6,99.7,27.5,276.9,173.6,706.3,8,362.9,323.7,373.6,Actual,351.8,1975
161.6,487.7,3276,359.6,9.7,20.9,382.1,441.4,0.6,551.4,307.2,166.8,Actual,387,1976
6.9,345.5,2388.2,67.1,43.2,79.7,341.1,339.3,6.1,275.3,153.3,263.6,Actual,467.1,1977
63.4,346.3,2712.4,44.6,29.3,109.6,656.6,462.2,18.9,343.6,83.4,243.7,Actual,310.8,1978
64.8,173.6,1849.3,13.6,9.4,35.5,455.9,282.8,3.9,146.3,169.8,163.5,Actual,330.2,1979
38.8,494.4,3625.3,500.7,0.8,5.5,575.7,604.2,9.2,728.4,143.7,252,Actual,271.9,1980
94.1,510.7,3074.7,170.7,27.8,11.1,344.1,600.6,1.7,270.8,348.4,242.1,Actual,452.6,1981
97.5,347.6,2384.5,60.5,2.8,8.8,410.5,448.7,6.6,229.2,238.8,164.5,Actual,369,1982
9.1,493.8,2792.5,88.1,0,22.1,468.9,424.3,3.1,240.8,261,275.8,Actual,505.5,1983
156.6,125.8,2820.3,445.2,173.8,69.4,446.4,424.9,26.3,162.3,158.9,347.1,Actual,283.6,1984
55,375.2,2630.8,94.4,19.2,12,230.9,588.4,24.1,278.1,232.1,358.9,Actual,362.5,1985
8.2,444,2187.9,47,0.6,14.8,308.5,312.2,1.5,302.6,163.5,176.1,Actual,408.9,1986
17.7,666.5,2763.9,334.1,35.2,72.4,45.3,343.7,20.4,162.9,313.4,373.4,Actual,378.9,1987
82.7,354.2,3323.1,69.9,39.9,10.2,495.6,357.4,28,427.5,583,271.4,Actual,603.3,1988
42.6,413.2,2533.7,4,12.8,56,380.1,414.9,68.1,379.3,255,291.8,Actual,215.9,1989
87.5,293.3,2183.2,100.3,0.2,13.4,213.2,291,24.6,424.6,291.1,133.6,Actual,310.4,1990
132.9,486.5,2535.6,58.5,3.8,14.1,547.2,165.7,28,191.3,130.1,287.6,Actual,489.9,1991
5.1,372.3,2098.6,7.2,10.9,75.9,348.2,392,0,241.7,64.3,257.3,Actual,323.7,1992
43.7,226.7,2237.4,66.7,0,14.9,391.7,257.1,129.9,181.4,189,299.3,Actual,437,1993
154.6,460.5,3263.1,23.8,35.5,7.2,569.7,386.3,129.4,403.2,180.3,137.5,Actual,775.1,1994
21.1,555.8,3115.5,21.6,12.5,51.8,501.4,450.4,12.1,314.8,452.9,294.7,Actual,426.4,1995
122.7,328,2996.9,178.8,4.8,52.2,335.5,559.2,3.4,298,254.2,318.5,Actual,541.6,1996
15.6,430.6,2755.1,38.4,0,9.5,918.5,199.5,0.2,281.1,292.8,128.7,Actual,440.2,1997
0,258.9,2846.4,89,0,0.9,364.5,600,0,348.9,227.8,618.6,Actual,337.8,1998
270.6,329.2,2699.7,145.7,44.6,46.8,408.5,295,14.2,257.4,124.9,437.5,Actual,325.3,1999
218.1,460.8,2763.1,115.2,59,53,176.3,357,171.3,422.8,158.3,321.2,Actual,250.1,2000
30.1,469,3080.8,91.8,15.7,89,341.3,370.7,143.3,705.3,222.6,267.6,Actual,334.4,2001
100.2,429.8,2620.1,129.9,0,10.6,317.4,358.3,11.5,366.7,306.7,169,Actual,420,2002
19.4,379.4,2355.7,48,7.9,44.3,494.9,159.9,149.2,296.3,74.1,310.4,Actual,371.9,2003
41.6,308.7,2460,0.4,35.9,54.5,378.9,423.9,36.5,505.1,169.9,223.9,Actual,280.7,2004
51.1,311.1,2954.5,283.9,0,0,429.3,452.4,20.3,305.3,300.1,293.5,Actual,507.5,2005
163.7,219.6,2404.7,74.4,14.4,16.3,182.7,366,48.9,321.4,76.1,374.7,Actual,546.5,2006
54.6,465.3,2748.2,85.6,1.6,4.9,463.2,378.3,5,370,223.9,209.4,Actual,486.4,2007
216.1,482.1,3374.9,72,67.7,9.9,511.2,457.8,115.8,545.5,321.1,243.7,Actual,332,2008
136.5,351.5,2538.6,48,6.3,24.5,297.3,633.5,44.2,313.1,66.2,272.8,Actual,344.7,2009
12.5,563.8,3157.1,246.4,8,101.7,521.9,448.9,0.7,319,268.5,402.4,Actual,263.3,2010
111.4,441.5,3828,238.5,84.8,265.9,583.2,383.2,272.8,326.5,150.8,212.3,Actual,757.1,2011
55.8,369.6,3497.6,187.3,45.6,119.9,317.3,458.2,30.9,533.9,300.5,209.7,Actual,868.9,2012
46.3,336.7,3757.7,92.3,37.6,67.1,564.8,777,43,509.3,354.2,455.8,Actual,473.6,2013
11.1,321.6,2622.5,100.4,8.6,41.9,467.6,416.6,0,238,201.2,402.6,Actual,412.9,2014
138.2,480,2904.5,129.9,7.6,126.8,328.9,346.4,3.1,331.9,236.3,252.1,Actual,523.3,2015
316.1,629.7,,,69.8,48.1,,1124.9,71.1,424.6,,,Actual,333.9,1916
269.6,628.4,,0,164.5,21.4,909.1,823.8,,107.9,63.5,199.3,Actual,411.5,1917
144.6,692.6,5486.3,13.7,11,10.4,1303,1609.9,191.2,861.1,7.8,125.2,Actual,515.8,1918
256.9,286.7,4693.9,8.6,67.8,34.5,999,973.6,28.5,420.6,40.7,948.3,Actual,628.7,1919
364.7,896.5,4106.7,0,196.3,14,535.4,840.6,605.6,173.6,0,103.3,Actual,376.7,1920
358,885.9,5691.4,15.5,54.3,78.9,1433,1233.2,180.3,598,4.6,246.3,Actual,603.4,1921
299.5,488.3,4187.2,19,59.4,50.7,918.7,1109.3,170.4,350.5,30.3,483.5,Actual,207.6,1922
240.9,251.3,3507.5,2.8,160.8,9.4,1278.5,408.6,34,445.4,8.4,50.1,Actual,617.3,1923
162.4,713.8,4450.5,0,45.1,85.7,942.7,1165,74.1,515.7,31.9,303.3,Actual,410.8,1924
223,684.7,4439.8,4.1,114,80.6,611,611.6,143.3,587.2,5.1,153.2,Actual,1222,1925
249.7,445.6,3521.6,49.3,40.8,38.1,978.7,675.2,179.1,248.1,18.6,311.5,Actual,286.9,1926
384,727.8,5253.2,0,208.5,48.3,923.2,1045.4,88.1,164,17.8,537.2,Actual,1108.9,1927
123.4,981.2,5272.7,2.3,39.7,48.9,993.6,1168.3,118.2,431.9,25.6,633.5,Actual,706.1,1928
492.3,670,4320.1,109.5,59.2,144.8,614.4,853,124.3,615.8,64.5,188,Actual,384.3,1929
565.4,1055.5,4334.3,24.9,84.3,64.4,376.2,720.9,202.5,148.9,93.2,361.1,Actual,637,1930
502.7,337.7,4872.1,46.2,189.7,61.3,1399.9,1149.4,231.6,277.7,37.8,157.4,Actual,480.7,1931
282.7,907.8,4850.9,59.9,110.3,70.2,521.2,1065.2,105.5,661.6,231.4,152.2,Actual,682.9,1932
267.9,685.2,3773.4,8.1,59.4,56,743.2,782.1,101.6,435.3,40.6,217.9,Actual,376.1,1933
595.1,640.9,4575.6,21.9,88.3,84.9,935.9,1024.6,128.3,454.5,77,141.6,Actual,382.6,1934
211.2,968.8,4173.5,27.4,143.6,18.1,489.9,1147.1,169.7,299.9,44.4,21.8,Actual,631.6,1935
374.7,668.4,4788.7,127.6,175.2,105.9,1132.8,833.1,151.7,295.7,122.8,216.5,Actual,584.3,1936
261,816.9,3375.1,17.3,105.6,19.9,611.6,456.4,91.2,399,16.7,239.8,Actual,339.7,1937
395.3,790.8,6129.1,5.6,121.6,144.8,1355.1,1511.3,340.5,306.5,59.7,220.6,Actual,877.3,1938
388.1,310.2,3898.6,7.7,140.5,13.6,838.5,1132.5,112.7,314.6,6.2,157.6,Actual,476.4,1939
133.9,340.5,4099.5,44.3,168.5,12.7,1067.9,511,381.8,480.5,12.4,154.6,Actual,791.4,1940
245.4,729.2,4220.2,45.9,101.7,37.4,935.9,518.1,157.9,652.4,19.6,89.7,Actual,687,1941
272.4,438.9,3828.3,1.1,164.9,15.8,457.5,1182.6,277.8,618.9,32.1,8.7,Actual,357.6,1942
322.6,501,4326.6,22.8,46.3,164.5,688.1,712.3,286.3,656.6,43,155.4,Actual,727.7,1943
179.9,307.4,3904.3,47.5,67,73.1,483.6,935.9,128.4,664.6,26,334.8,Actual,656.1,1944
282.9,771.3,3649.2,28.7,107.8,43.4,960,420.2,151.3,366,1.3,187.7,Actual,328.6,1945
238.3,478.7,4011.2,3.8,73.2,1.8,1212.2,448.6,141.7,631.2,25.4,215.9,Actual,540.4,1946
460.2,417.9,4369.1,25.9,68.5,37.8,1245,650.2,158.6,494.4,9.5,297.3,Actual,503.8,1947
441.1,603.3,6331.1,21.4,119.5,35.6,2362.8,889.5,136.1,1168.6,52.7,150.1,Actual,350.4,1948
436.9,672.6,4874.8,50.1,88.1,80.1,1002,943.9,287.4,567.2,39.6,224.9,Actual,482,1949
425.2,241.8,,43.9,92.8,38.6,377.6,,205.8,274.2,49.5,356,Actual,285.8,1950
441,278.5,3354.3,39.1,65.3,31.8,554.7,757.8,309.9,344.5,46.2,101.8,Actual,383.7,1951
151.5,481.1,2396.1,29.7,24.5,17.2,320.6,276.8,189.6,235.1,43.9,257.9,Actual,368.2,1952
214.9,245.3,,23.4,106.9,56.4,512.5,409.9,236,314.9,10.4,,Actual,449.8,1953
246.9,542.6,,40.6,,,1219.4,608.1,,448.9,17.1,146.6,Actual,505.8,1957
138.5,1664.6,5063.5,17,67.5,98.4,457.7,511.2,32.9,698.6,2.5,669.4,Actual,705.2,1958
146.4,333.2,4195.5,0,137.9,83.2,1137.7,812.9,104.5,671.8,12.1,247,Actual,508.8,1959
137.1,251.3,3709.4,10.4,26.8,8,1296.8,653.9,53.2,210.7,13.4,13,Actual,1034.8,1960
181,547.9,3676.5,3.9,204.2,50,738.3,595.5,289.6,492.3,57.1,260.5,Actual,256.2,1961
250.3,1405.9,,,87.1,37.2,758.1,1088.8,45.1,601.9,,255.6,Actual,222.4,1962
262.6,1199.3,4138,15.7,35.2,14.6,817.4,755.4,168.6,346.4,20,136.4,Actual,366.4,1963
219.7,492.1,4959.3,71.9,90.3,55.4,1506.1,1432.8,81.1,286.4,12.2,246.2,Actual,465.1,1964
254.4,351.3,2196.8,4.9,120.7,37.4,315.8,404.7,103.7,306.9,72.6,51.5,Actual,172.9,1965
180.2,411.6,2209.7,6.3,91.5,22.4,432.7,473.2,98.4,177.9,39,78.9,Actual,197.6,1966
96.6,220.8,1668.5,11.5,45.5,13.3,434.5,253.1,147.9,164,10,58.5,Actual,212.8,1967
117.6,227.5,2138.9,8.4,41.4,54.2,404.8,510.1,135.9,307.2,12.5,75.8,Actual,243.5,1968
127,333.9,1877.8,15.1,10,19.2,405.1,412.3,33.8,202.3,34.8,42.9,Actual,241.4,1969
108.8,245.4,1973.4,0,78.8,49.2,377.9,409.6,57.4,213.4,6.9,138.6,Actual,287.4,1970
121.8,288.2,2184.6,7.3,67.8,56,385.5,446,47.1,222.4,67.8,235.1,Actual,239.6,1971
231.5,270.7,2281.3,21.5,114.2,39.2,438.3,314.4,108.3,299.5,25.9,83.3,Actual,334.5,1972
215.3,271.3,2457.6,35.4,147.1,136.4,284.8,571.1,82.3,256.5,88.9,110.2,Actual,258.3,1973
272.6,446.8,3064,30.3,95.4,130.9,648.9,466.7,127.8,248.3,14,121.1,Actual,461.2,1974
165.1,185.2,2213.4,13.6,76.9,17.3,427,268.5,101.7,188,21.5,451.6,Actual,297,1975
229.3,357.4,2419.6,45.6,112.9,8.9,375.4,506.3,168,210.7,87.9,139.7,Actual,177.5,1976
560.2,610.1,3774.4,77.7,133.5,71.2,484.7,543.5,209.3,417.8,141,213.5,Actual,311.9,1977
216.4,172.4,2531,2.5,82.2,37.1,357.5,577.2,150.6,345.6,146.1,133,Actual,310.4,1978
158.8,296.9,2773.7,81.2,81.6,47.4,665.4,239.4,138.2,210.3,27.4,409.6,Actual,417.5,1979
372,544.7,3215.4,0.2,130.4,65.6,514.1,530.9,251.4,245.5,7.8,185.4,Actual,367.4,1980
197.4,360.6,2790.8,55.5,136.1,93.1,549.3,494.9,255.2,285,29.3,71.8,Actual,262.6,1981
335.3,197,2779.4,62.2,100.4,6.4,593,429.8,151.2,241.4,53.8,82.3,Actual,526.6,1982
351.2,389.9,3335.1,40.8,171.1,65.4,563.2,551,217.6,301.9,14.9,191.7,Actual,476.4,1983
389.3,309.2,3278.1,89.5,42.8,98.1,671,417.3,166.9,448.7,5.7,184.1,Actual,455.5,1984
347.1,326.3,3266.4,48.8,81,54.1,657.8,506,255.6,345.5,25.4,116.6,Actual,502.2,1985
335.3,355.3,2495.6,14,90.1,19.3,453.7,402.5,122.8,101.8,36.6,176.6,Actual,387.6,1986
352,558.8,3433.3,39.6,72.5,3.7,754.9,501.5,147.7,230.8,24.1,101.1,Actual,646.6,1987
278.9,815.6,4155.4,13.1,118.3,50.9,868.1,287,250.7,535.9,34.2,416.4,Actual,486.3,1988
388.7,305.3,3281.7,19.6,171.9,52.6,640.7,484.2,92.9,239.7,77.9,281.7,Actual,526.5,1989
289.9,352.8,3604.1,19.7,112.4,54.8,534,857.2,149,366.2,2,240.6,Actual,625.5,1990
193.3,603.4,3434.5,80.8,86,24.9,607.7,608.3,110.7,423.7,22.2,189,Actual,484.5,1991
196.4,294.3,2706.8,8.9,128.9,33.2,557.2,522.9,184.6,239.2,11.5,201.5,Actual,328.2,1992
130.6,691.9,3348.9,7.5,125.4,95.7,619.2,569.5,134.4,408.3,14.7,228.6,Actual,323.1,1993
232.1,280.2,2287.3,6.2,72.6,48.2,233,416.1,215.3,382.9,14.1,161.6,Actual,225,1994
198.8,328.8,3068.8,32.6,79.9,20.6,714.5,686.9,84.3,363.9,51,82.4,Actual,425.1,1995
171.4,372.1,2520.6,1.4,56.2,35.7,593,316.2,163.6,398.2,9.1,212.5,Actual,191.2,1996
94.7,237,2274.9,26.3,68.5,26.2,395.2,548,158.5,212.6,45.9,58.5,Actual,403.5,1997
125,807,3616.7,2.5,78.8,26.7,823.8,839.8,193.6,275,20.5,187.2,Actual,236.8,1998
159.6,438.1,2316.7,4.3,6.1,7.9,376.9,450,40.4,343.2,28.3,207.9,Actual,254,1999
293.8,387.4,2596.9,9.6,47.1,54.1,395.4,459.8,139.9,267.2,53.9,81.3,Actual,407.4,2000
229.9,279.9,2035.9,14.9,66.6,53.1,302.6,277.2,134.9,195.6,19.3,173.8,Actual,288.1,2001
248.2,290.7,2389.3,17.9,37.2,74.2,604,396.8,126.3,197.1,45,94,Actual,257.9,2002
182,327.2,2451.7,16.2,83.2,22.9,645.3,424.3,109.6,173.5,25,182.6,Actual,259.9,2003
210.2,243,2545.8,15.2,39.1,38,654.3,402.9,175.5,298.7,5.6,184.8,Actual,278.5,2004
195.3,400,2335.5,3.3,167.6,48.4,430.8,269.3,229.5,179.8,28.6,139.3,Actual,243.6,2005
202.7,227.6,2259.4,21.7,103.7,6,382.2,520.4,63.3,321.7,69.7,77.2,Actual,263.2,2006
292.4,364.6,3020.6,6.9,97.4,13.4,761,530.2,48.1,250.4,24.3,102.6,Actual,529.3,2007
192.4,439.3,2244.5,2.6,39.7,76.7,456.1,423.6,122.6,185,1.7,115.1,Actual,189.7,2008
132.7,370.3,1750,15.9,92.8,18,329.9,259.1,72.1,189.9,33.9,82.9,Actual,152.5,2009
466.9,321.5,2855.6,14.2,13.2,0.6,378,509.9,237.8,312.7,58.9,97.7,Actual,444.2,2010
240.8,277.6,2193.6,15.2,51.3,40,531.4,288.4,174.5,219.6,16.2,51.9,Actual,286.7,2011
403.4,316,3440.5,26.2,35.8,57.8,638.9,645.8,134.2,187.4,22,248.1,Actual,724.9,2012
175.1,230.2,2042.9,14.6,40.5,18.5,329.6,290,115.1,335.8,13.3,164.1,Actual,316.1,2013
86.7,599.6,2403.1,10.2,101.9,19,392.4,415.8,80.3,299,20.1,35.1,Actual,343,2014
287.1,595.5,2767.5,29.8,47.5,30.8,329.3,637.9,97.5,238.9,33.8,65.2,Actual,374.2,2015
223,464.1,2498.7,1.2,19.5,27.1,430.6,524.9,30.6,207,115.6,163.7,Actual,291.4,1901
350,536,2952.1,1.3,10.2,9.3,510.8,620.7,105.6,262.1,7.8,97,Actual,441.3,1902
140.6,551.9,2544.6,1.3,25.4,19.9,362.7,607.4,103.6,206.6,59.3,159.5,Actual,306.4,1903
457.1,438.8,2664.2,2.5,56.1,11.1,477.6,385.7,51.9,375.2,46.4,115.9,Actual,245.9,1904
213,649.1,2790.7,24.8,16.9,19.9,439.1,521.7,137.9,275.5,16.8,200,Actual,276,1905
263.5,585.9,2663.2,0.2,59.2,9.7,541.8,388.4,88.4,271.3,24.9,165.7,Actual,264.2,1906
254.8,304.2,2521.3,13.8,37.2,55.8,578.9,509.8,109.7,213.7,4.8,37.6,Actual,401,1907
176.6,339.4,2277.8,0,25.1,16.2,477.2,390.8,20.7,332.7,3.8,91.9,Actual,403.4,1908
195,445.2,2377,6.3,8.9,19,345,639.4,4.4,310.4,24.6,162.4,Actual,216.4,1909
211.5,418.3,2887.3,4.3,32.1,9.2,738.3,582.5,152.8,274.6,16.2,199.7,Actual,247.8,1910
234,417.1,3096.1,3,19,74.2,618.6,534,93,431.7,26.3,257.4,Actual,387.8,1911
301,453.4,2743.4,9.5,57.8,9,567,482.7,126.1,250.2,68.4,181.5,Actual,236.8,1912
334.2,354,2760.5,45.6,90.2,11.9,438,458.6,118.4,392.3,10.4,227.7,Actual,279.2,1913
219.6,472.9,2343.9,7.4,79.1,6.3,396.4,403.9,69.9,317.9,10.6,67.6,Actual,292.3,1914
201.9,529.1,3165.2,4.4,58.9,9.3,738.2,509.1,74.4,662.9,10,108.2,Actual,258.8,1915
227.9,430.7,2601,6.3,28,20,475.3,367.3,118.4,340.6,32.8,244.9,Actual,308.8,1916
168.8,346.3,2520,1.4,91.6,12.8,472.8,584.7,38.7,206.2,46.4,236.6,Actual,313.7,1917
152.2,604.8,3106.8,1.1,16.1,4.6,805,659.4,125.5,287.4,6.8,70.7,Actual,373.2,1918
162.1,249.1,2344.1,3.6,12.4,13.1,459,485.5,22.6,266.9,42.5,185.7,Actual,441.6,1919
184.8,521.5,2623.7,1.8,51,4.8,309.8,523.8,228.1,282.7,3.3,129.5,Actual,382.6,1920
324.6,429.4,2999.5,10.3,20.3,35.1,542.2,604.9,134.1,414.8,8.5,142.1,Actual,333.2,1921
168.7,379.4,2262,9.4,4.9,16.6,418.4,548.9,77.8,233.1,9.3,129.9,Actual,265.6,1922
258.1,267.2,2440.4,5.9,59.6,0.4,375.4,588.6,17.1,397.8,11.2,98.2,Actual,360.9,1923
221.9,434,2691.6,0.2,22.7,10.6,609,473.9,20,299.4,126.9,127,Actual,346,1924
278.3,400.7,2550.5,0.2,21.5,26.4,411.1,330.8,53.8,602.2,13.7,89.5,Actual,322.3,1925
140.8,354.7,2511.6,33.6,23.2,23.4,576.5,559.3,156.9,253.9,6.4,193.7,Actual,189.2,1926
265.2,366.4,2792.9,0.2,60.5,33.8,447.7,573.9,66,238.4,29.8,161.2,Actual,549.8,1927
138.9,448.2,2634.1,1.5,21.1,8.3,428.1,420.6,61,446.5,21.6,294.8,Actual,343.5,1928
321.7,333.2,2953.8,22.1,3.8,83.9,385,643.4,84.1,570.2,17.6,196,Actual,292.8,1929
199.4,438.5,2550.8,6.2,41,18,287.8,686.9,99.8,209.8,114.4,149.9,Actual,299.1,1930
294.7,282,2800.1,16.3,29.2,7.6,654.6,605.6,47.6,374,21.6,136.7,Actual,330.2,1931
163.2,467.3,2888.6,20.6,36.7,14.9,454.6,628.5,59.1,488.6,90.9,108.4,Actual,355.8,1932
214.4,501.7,2339.1,2.7,29,10.3,427.1,477.2,16.7,286.7,8.1,122.1,Actual,243.1,1933
301.2,361.8,3074.8,6.3,68.2,18.5,553.2,754.5,27.1,444.6,59.8,232.8,Actual,246.8,1934
122.1,573.9,2678.5,2.9,53.2,3.4,395.2,696.9,66.5,381.5,19.8,28.1,Actual,335,1935
217.8,356.4,2671.3,23.2,58.7,13.6,559.9,456.1,75.7,422.8,24,179.6,Actual,283.5,1936
97.4,480.5,2324.6,4.9,51.1,2.2,409.2,422.5,19.3,406.6,13.5,139.3,Actual,278.1,1937
202,435.2,2786.5,0.6,16.2,27.2,510.6,581,138,247.3,55.2,141.8,Actual,431.4,1938
